NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 301.01, Adams County, Pennsylvania",1400000US42001030101,2587,44.5,2450,19,0,0,0,98,98,1065,943,812,131,365,20,19,183,33,110,0,213100,0,6,0,2587,140,34122,33,75489,2107,426,0,1694,1609,1446,316,42,001,030101
"Census Tract 301.02, Adams County, Pennsylvania",1400000US42001030102,5813,42.3,5735,0,0,25,0,380,53,2359,2150,1947,203,531,22,11,0,62,436,0,175000,0,0,0,5778,196,29015,40,69750,4049,1494,14,3739,3507,3278,675,42,001,030102
"Census Tract 302, Adams County, Pennsylvania",1400000US42001030200,5309,41.5,4705,25,0,32,0,909,456,2124,1937,1558,379,1205,28,58,38,340,609,132,184800,4,0,6,5294,850,25128,65,54368,3693,973,61,3359,2756,2977,387,42,001,030200
"Census Tract 303, Adams County, Pennsylvania",1400000US42001030300,4229,38.8,3866,81,0,57,0,337,205,1646,1449,1154,295,880,106,0,109,169,496,0,181300,0,0,0,4162,359,25515,32,66250,3236,681,47,2569,2291,2243,391,42,001,030300
"Census Tract 304, Adams County, Pennsylvania",1400000US42001030400,5857,47.4,5535,24,21,0,0,378,262,2591,2312,1840,472,1232,0,0,41,144,1037,10,186200,0,0,0,5688,612,31023,76,63920,3750,1969,0,3799,3616,3532,774,42,001,030400
"Census Tract 305, Adams County, Pennsylvania",1400000US42001030500,3779,46.1,3331,16,3,8,0,635,380,1514,1447,1071,376,1031,46,43,110,353,396,83,182000,4,0,0,3745,451,28104,44,56098,2618,764,30,2399,2013,2011,423,42,001,030500
"Census Tract 306, Adams County, Pennsylvania",1400000US42001030600,4932,45.3,4494,60,6,95,0,365,116,1829,1718,1320,398,1051,10,5,35,277,412,312,220100,11,0,0,4430,496,27169,58,63030,3369,1321,45,2896,2721,2546,592,42,001,030600
"Census Tract 307, Adams County, Pennsylvania",1400000US42001030700,6457,40.9,5804,94,0,25,0,578,398,2578,2429,2001,428,994,0,190,210,212,315,67,177400,0,0,14,6424,829,27411,67,58125,4677,1525,38,3866,3666,3461,564,42,001,030700
"Census Tract 308, Adams County, Pennsylvania",1400000US42001030800,7168,45.3,6810,46,6,32,0,351,197,2961,2791,2316,475,1220,23,91,45,302,700,59,181100,13,7,0,7150,534,30865,106,65490,5177,1696,63,4436,4137,3911,721,42,001,030800
"Census Tract 309, Adams County, Pennsylvania",1400000US42001030900,7808,43.3,6931,203,10,27,0,672,358,3118,2834,2020,814,2282,6,0,52,506,1679,39,164500,0,0,0,7504,930,23734,37,58035,5656,1737,136,4058,3652,3529,658,42,001,030900
"Census Tract 310, Adams County, Pennsylvania",1400000US42001031000,1892,42.5,1877,6,0,0,0,22,0,721,682,567,115,333,0,17,8,98,210,0,162100,0,0,0,1892,253,23487,0,64133,1280,505,8,1140,1048,1051,245,42,001,031000
"Census Tract 311.01, Adams County, Pennsylvania",1400000US42001031101,4959,40.3,4640,43,0,58,0,144,127,2211,2152,1279,873,1844,150,40,140,551,802,161,153600,0,0,0,4830,327,23344,16,43663,4036,781,71,2933,2786,2525,380,42,001,031101
"Census Tract 311.02, Adams County, Pennsylvania",1400000US42001031102,3350,45.4,3129,0,0,17,0,118,67,1335,1335,1139,196,344,0,18,37,58,181,50,227800,0,0,0,3329,33,32545,41,71181,1821,1460,10,1998,1917,1812,414,42,001,031102
"Census Tract 312.01, Adams County, Pennsylvania",1400000US42001031201,3681,50.1,3425,73,0,7,0,108,92,1653,1536,1369,167,324,16,0,0,127,159,22,291000,0,12,0,3587,57,39596,140,71534,1770,1768,84,2016,1921,1866,749,42,001,031201
"Census Tract 312.02, Adams County, Pennsylvania",1400000US42001031202,2708,45.4,2675,0,0,0,0,16,0,1035,1007,907,100,217,6,7,0,67,137,0,226200,0,0,0,2708,107,32230,40,74034,1217,1446,6,1637,1624,1433,313,42,001,031202
"Census Tract 312.03, Adams County, Pennsylvania",1400000US42001031203,3157,47.3,3133,0,0,0,0,57,0,1190,1155,1051,104,251,0,13,22,89,65,62,244600,0,0,0,3151,109,32050,52,72813,1579,1495,31,1953,1908,1613,382,42,001,031203
"Census Tract 313, Adams County, Pennsylvania",1400000US42001031300,4449,38.0,4263,37,0,0,0,30,11,2013,1850,1175,675,1505,7,0,7,334,1122,35,168200,0,0,0,4399,412,26087,10,55526,2199,2150,41,2769,2692,2291,470,42,001,031300
